year,county_name,fips_county,cbsa_20,cbsa_name_20,cbsa_ind_20,cbsa_cnty_stats_20,rural_urban_contnm_13,econ_depndnt_typolgy_15,farmng_depndnt_typolgy_15,minng_depndnt_typolgy_15,mfg_depndnt_typolgy_15,fed_st_govt_depndnt_typolgy_15,recrtn_typolgy_15,nonspclzd_depndnt_typolgy_15,lo_eductn_typolgy_15,lo_emplymt_typolgy_15,prstnt_povty_typolgy_14,prstnt_child_povty_typolgy_15,popn_loss_typolgy_15,retrmnt_destntn_typolgy_15,hpsa_prim_care_23,hpsa_prim_care_22,hpsa_prim_care_21,hpsa_prim_care_20,hpsa_prim_care_19,hpsa_prim_care_18,hpsa_prim_care_17,hpsa_prim_care_16,hpsa_prim_care_15,hpsa_prim_care_10,hpsa_dent_23,hpsa_dent_22,hpsa_dent_21,hpsa_dent_20,hpsa_dent_19,hpsa_dent_18,hpsa_dent_17,hpsa_dent_16,hpsa_dent_15,hpsa_dent_10,hpsa_mentl_hlth_23,hpsa_mentl_hlth_22,hpsa_mentl_hlth_21,hpsa_mentl_hlth_20,hpsa_mentl_hlth_19,hpsa_mentl_hlth_18,hpsa_mentl_hlth_17,hpsa_mentl_hlth_16,hpsa_mentl_hlth_15,hpsa_mentl_hlth_10,phys_nf_prim_care_pc_exc_rsdt_21,phys_nf_prim_care_pc_exc_rsdt_20,phys_nf_prim_care_pc_exc_rsdt_19,phys_nf_prim_care_pc_exc_rsdt_18,phys_nf_prim_care_pc_exc_rsdt_17,phys_nf_prim_care_pc_exc_rsdt_16,phys_nf_prim_care_pc_exc_rsdt_15,phys_nf_prim_care_pc_exc_rsdt_14,phys_nf_prim_care_pc_exc_rsdt_13,phys_nf_prim_care_pc_exc_rsdt_12,phys_nf_prim_care_pc_exc_rsdt_11,phys_nf_prim_care_pc_exc_rsdt_10,md_nf_prim_care_pc_excl_rsdnt_21,md_nf_prim_care_pc_excl_rsdnt_20,md_nf_prim_care_pc_excl_rsdnt_19,md_nf_prim_care_pc_excl_rsdnt_18,md_nf_prim_care_pc_excl_rsdnt_17,md_nf_prim_care_pc_excl_rsdnt_16,md_nf_prim_care_pc_excl_rsdnt_15,md_nf_prim_care_pc_excl_rsdnt_14,md_nf_prim_care_pc_excl_rsdnt_13,md_nf_prim_care_pc_excl_rsdnt_12,md_nf_prim_care_pc_excl_rsdnt_11,md_nf_prim_care_pc_excl_rsdnt_10,do_nf_prim_care_pc_excl_rsdnt_21,do_nf_prim_care_pc_excl_rsdnt_20,do_nf_prim_care_pc_excl_rsdnt_19,do_nf_prim_care_pc_excl_rsdnt_18,do_nf_prim_care_pc_excl_rsdnt_17,do_nf_prim_care_pc_excl_rsdnt_16,do_nf_prim_care_pc_excl_rsdnt_15,do_nf_prim_care_pc_excl_rsdnt_14,do_nf_prim_care_pc_excl_rsdnt_13,do_nf_prim_care_pc_excl_rsdnt_12,do_nf_prim_care_pc_excl_rsdnt_11,do_nf_prim_care_pc_excl_rsdnt_10,md_nf_activ_21,md_nf_activ_20,md_nf_activ_19,md_nf_activ_18,md_nf_activ_17,md_nf_activ_16,md_nf_activ_15,md_nf_activ_14,md_nf_activ_13,md_nf_activ_12,md_nf_activ_11,md_nf_activ_10,md_nf_all_pc_21,md_nf_all_pc_20,md_nf_all_pc_19,md_nf_all_pc_18,md_nf_all_pc_17,md_nf_all_pc_16,md_nf_all_pc_15,md_nf_all_pc_14,md_nf_all_pc_13,md_nf_all_pc_12,md_nf_all_pc_11,md_nf_all_pc_10,md_nf_all_gp_21,md_nf_all_gp_20,md_nf_all_gp_19,md_nf_all_gp_18,md_nf_all_gp_15,md_nf_all_gp_10,md_nf_gp_21,md_nf_gp_20,md_nf_gp_19,md_nf_gp_18,md_nf_gp_15,md_nf_gp_10,md_nf_fammed_gen_21,md_nf_fammed_gen_20,md_nf_fammed_gen_19,md_nf_fammed_gen_18,md_nf_fammed_gen_15,md_nf_fammed_gen_10,md_nf_all_med_spec_21,md_nf_all_med_spec_20,md_nf_all_med_spec_19,md_nf_all_med_spec_18,md_nf_all_med_spec_15,md_nf_all_med_spec_10,md_nf_allergy_21,md_nf_allergy_20,md_nf_allergy_19,md_nf_allergy_18,md_nf_allergy_15,md_nf_allergy_10,md_nf_card_dis_21,md_nf_card_dis_20,md_nf_card_dis_19,md_nf_card_dis_18,md_nf_card_dis_15,md_nf_card_dis_10,md_nf_derm_21,md_nf_derm_20,md_nf_derm_19,md_nf_derm_18,md_nf_derm_15,md_nf_derm_10,md_nf_gastr_21,md_nf_gastr_20,md_nf_gastr_19,md_nf_gastr_18,md_nf_gastr_15,md_nf_gastr_10,md_nf_genintmed_21,md_nf_genintmed_20,md_nf_genintmed_19,md_nf_genintmed_18,md_nf_genintmed_15,md_nf_genintmed_10,md_nf_ped_gen_21,md_nf_ped_gen_20,md_nf_ped_gen_19,md_nf_ped_gen_18,md_nf_ped_gen_15,md_nf_ped_gen_10,md_nf_all_surg_spec_21,md_nf_all_surg_spec_20,md_nf_all_surg_spec_19,md_nf_all_surg_spec_18,md_nf_all_surg_spec_15,md_nf_all_surg_spec_10,md_nf_gen_surg_21,md_nf_gen_surg_20,md_nf_gen_surg_19,md_nf_gen_surg_18,md_nf_gen_surg_15,md_nf_gen_surg_10,md_nf_obgyn_gen_21,md_nf_obgyn_gen_20,md_nf_obgyn_gen_19,md_nf_obgyn_gen_18,md_nf_obgyn_gen_15,md_nf_obgyn_gen_10,md_nf_ophth_21,md_nf_ophth_20,md_nf_ophth_19,md_nf_ophth_18,md_nf_ophth_15,md_nf_ophth_10,md_nf_all_oth_spec_21,md_nf_all_oth_spec_20,md_nf_all_oth_spec_19,md_nf_all_oth_spec_18,md_nf_all_oth_spec_15,md_nf_all_oth_spec_10,md_nf_anesth_21,md_nf_anesth_20,md_nf_anesth_19,md_nf_anesth_18,md_nf_anesth_15,md_nf_anesth_10,md_nf_child_psych_21,md_nf_child_psych_20,md_nf_child_psych_19,md_nf_child_psych_18,md_nf_child_psych_15,md_nf_child_psych_10,md_nf_emerg_med_21,md_nf_emerg_med_20,md_nf_emerg_med_19,md_nf_emerg_med_18,md_nf_emerg_med_15,md_nf_emerg_med_10,md_nf_neuro_21,md_nf_neuro_20,md_nf_neuro_19,md_nf_neuro_18,md_nf_neuro_15,md_nf_neuro_10,md_nf_psych_21,md_nf_psych_20,md_nf_psych_19,md_nf_psych_18,md_nf_psych_15,md_nf_psych_10,do_nf_activ_21,do_nf_activ_20,do_nf_activ_19,do_nf_activ_18,do_nf_activ_17,do_nf_activ_16,do_nf_activ_15,do_nf_activ_14,do_nf_activ_13,do_nf_activ_12,do_nf_activ_11,do_nf_activ_10,do_nf_gp_21,do_nf_gp_20,do_nf_gp_19,do_nf_gp_18,do_nf_gp_15,do_nf_gp_10,do_nf_fammed_gen_21,do_nf_fammed_gen_20,do_nf_fammed_gen_19,do_nf_fammed_gen_18,do_nf_fammed_gen_15,do_nf_fammed_gen_10,do_nf_ped_gen_21,do_nf_ped_gen_20,do_nf_ped_gen_19,do_nf_ped_gen_18,do_nf_ped_gen_15,do_nf_ped_gen_10,do_nf_obgyn_gen_21,do_nf_obgyn_gen_20,do_nf_obgyn_gen_19,do_nf_obgyn_gen_18,do_nf_obgyn_gen_15,do_nf_obgyn_gen_10,do_nf_gen_surg_21,do_nf_gen_surg_20,do_nf_gen_surg_19,do_nf_gen_surg_18,do_nf_gen_surg_15,do_nf_gen_surg_10,do_nf_emerg_med_21,do_nf_emerg_med_20,do_nf_emerg_med_19,do_nf_emerg_med_18,do_nf_emerg_med_15,do_nf_emerg_med_10,do_nf_psych_21,do_nf_psych_20,do_nf_psych_19,do_nf_psych_18,do_nf_psych_15,do_nf_psych_10,do_nf_oth_spec_21,do_nf_oth_spec_20,do_nf_oth_spec_19,do_nf_oth_spec_18,do_nf_oth_spec_15,do_nf_oth_spec_10,pa_npi_22,pa_npi_21,pa_npi_20,pa_npi_19,pa_npi_18,pa_npi_17,pa_npi_16,pa_npi_15,pa_npi_14,pa_npi_13,pa_npi_12,pa_npi_11,pa_npi_10,aprn_npi_22,aprn_npi_21,aprn_npi_20,aprn_npi_19,aprn_npi_18,aprn_npi_17,aprn_npi_16,aprn_npi_15,aprn_npi_14,aprn_npi_13,aprn_npi_12,aprn_npi_11,aprn_npi_10,hosp_21,hosp_20,hosp_19,hosp_18,hosp_15,hosp_10,stgh_21,stgh_20,stgh_19,stgh_18,stgh_15,stgh_10,stngh_21,stngh_20,stngh_19,stngh_18,stngh_15,stngh_10,lth_21,lth_20,lth_19,lth_18,lth_15,lth_10,critcl_access_hosp_21,critcl_access_hosp_20,critcl_access_hosp_19,critcl_access_hosp_18,rural_refrrl_ctr_21,rural_refrrl_ctr_20,rural_refrrl_ctr_19,rural_refrrl_ctr_18,stgh_substnc_use_inpat_care_21,stgh_substnc_use_inpat_care_20,stgh_substnc_use_inpat_care_19,stgh_substnc_use_inpat_care_18,stgh_psych_care_21,stgh_psych_care_20,stgh_psych_care_19,stgh_psych_care_18
2020,Androscoggin,1,30340,"Lewiston-Auburn, ME Metro SA",1,Central,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,94,88,91,94,88,91,78,85,93,,NA,NA,70,64,65,68,63,67,58,66,75,,NA,NA,24,24,26,26,25,24,20,19,18,,NA,NA,246,244,245,246,237,239,234,243,259,,NA,NA,218,215,219,221,215,216,204,215,227,,NA,NA,44,46,54,,NA,NA,1,0,0,,NA,NA,42,45,54,,NA,NA,83,85,80,,NA,NA,0,1,1,NA,NA,NA,4,6,8,,NA,NA,2,2,2,,NA,NA,7,6,5,,NA,NA,27,27,31,,NA,NA,14,12,5,,NA,NA,47,49,45,,NA,NA,21,21,14,,NA,NA,5,5,7,,NA,NA,4,4,4,,NA,NA,58,55,65,,NA,NA,9,9,7,,NA,NA,1,1,5,,NA,NA,23,18,14,,NA,NA,2,2,6,,NA,NA,3,3,6,,NA,NA,48,51,52,51,50,50,47,46,44,,NA,NA,1,1,2,,NA,NA,19,25,20,,NA,NA,3,3,1,,NA,NA,4,3,2,,NA,NA,1,3,0,,NA,NA,3,1,2,,NA,NA,0,0,0,,NA,NA,6,4,5,,NA,NA,90,83,79,79,75,71,58,52,45,46,,NA,NA,269,254,231,216,198,180,171,145,131,116,,NA,NA,2,2,2,,NA,NA,2,2,2,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,0,,NA,NA,1,,NA,NA,0,,NA,NA,0
2020,Aroostook,3,NA,,0,,7,0,0,0,0,0,0,1,0,0,0,0,1,0,,NA,NA,2,2,2,2,2,2,1,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,74,72,64,64,59,62,62,62,64,,NA,NA,66,64,58,57,53,55,53,53,55,,NA,NA,8,8,6,7,6,7,9,9,9,,NA,NA,152,147,135,135,129,137,143,140,139,,NA,NA,145,144,132,133,127,132,133,130,127,,NA,NA,33,29,33,,NA,NA,3,2,2,,NA,NA,30,27,31,,NA,NA,48,44,33,,NA,NA,0,0,0,NA,NA,NA,2,2,2,,NA,NA,1,0,0,,NA,NA,0,0,0,,NA,NA,22,21,18,,NA,NA,13,10,8,,NA,NA,34,34,36,,NA,NA,9,8,13,,NA,NA,12,12,8,,NA,NA,3,5,4,,NA,NA,33,28,29,,NA,NA,6,2,3,,NA,NA,4,2,3,,NA,NA,9,8,7,,NA,NA,1,1,2,,NA,NA,2,2,2,,NA,NA,13,13,13,15,14,17,17,15,16,,NA,NA,0,0,0,,NA,NA,6,4,6,,NA,NA,0,1,1,,NA,NA,0,0,1,,NA,NA,0,1,0,,NA,NA,2,3,1,,NA,NA,0,0,0,,NA,NA,3,3,3,,NA,NA,29,29,29,28,30,27,28,24,24,25,,NA,NA,97,86,79,77,73,69,67,66,66,60,,NA,NA,4,4,4,,NA,NA,4,4,4,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,1,,NA,NA,0,,NA,NA,0,,NA,NA,1
2020,Cumberland,5,38860,"Portland-South Portland, ME Metro SA",1,Central,2,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,1,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,492,486,488,471,455,445,443,440,429,,NA,NA,377,373,371,359,347,347,349,342,338,,NA,NA,115,113,117,112,108,98,94,98,91,,NA,NA,1668,1652,1615,1591,1543,1515,1495,1475,1464,,NA,NA,1546,1528,1489,1470,1431,1395,1342,1317,1303,,NA,NA,185,174,146,,NA,NA,0,0,2,,NA,NA,168,157,136,,NA,NA,590,563,519,,NA,NA,7,7,6,NA,NA,NA,53,47,48,,NA,NA,20,22,15,,NA,NA,21,20,16,,NA,NA,200,206,184,,NA,NA,101,89,101,,NA,NA,311,294,258,,NA,NA,99,86,68,,NA,NA,75,73,64,,NA,NA,20,21,25,,NA,NA,533,520,467,,NA,NA,89,87,84,,NA,NA,28,27,21,,NA,NA,130,121,92,,NA,NA,24,20,22,,NA,NA,110,110,114,,NA,NA,313,313,320,310,307,296,284,268,250,,NA,NA,7,8,9,,NA,NA,80,83,66,,NA,NA,14,14,9,,NA,NA,8,7,9,,NA,NA,8,7,7,,NA,NA,17,20,13,,NA,NA,14,12,9,,NA,NA,78,80,49,,NA,NA,300,278,261,242,227,208,192,180,170,146,,NA,NA,647,613,573,544,502,453,426,423,404,386,,NA,NA,6,6,7,,NA,NA,4,4,5,,NA,NA,2,2,2,,NA,NA,0,0,0,,NA,NA,1,,NA,NA,0,,NA,NA,0,,NA,NA,2
2020,Franklin,7,NA,,0,,6,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,32,32,34,34,36,38,34,37,36,,NA,NA,21,21,23,23,24,26,24,28,26,,NA,NA,11,11,11,11,12,12,10,9,10,,NA,NA,43,46,46,47,52,52,48,53,53,,NA,NA,40,43,44,44,50,50,46,50,51,,NA,NA,10,14,17,,NA,NA,0,0,0,,NA,NA,10,14,17,,NA,NA,13,13,10,,NA,NA,0,0,0,NA,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,4,3,4,,NA,NA,9,9,5,,NA,NA,8,8,14,,NA,NA,4,3,6,,NA,NA,2,3,4,,NA,NA,1,1,1,,NA,NA,12,12,11,,NA,NA,4,2,3,,NA,NA,1,0,0,,NA,NA,3,4,3,,NA,NA,0,1,0,,NA,NA,1,1,2,,NA,NA,18,18,18,19,21,21,20,18,19,,NA,NA,0,0,0,,NA,NA,5,5,6,,NA,NA,0,0,0,,NA,NA,1,1,1,,NA,NA,0,0,0,,NA,NA,1,1,1,,NA,NA,1,1,1,,NA,NA,2,2,2,,NA,NA,14,14,14,14,14,14,14,13,13,15,,NA,NA,24,22,19,15,15,15,11,15,12,8,,NA,NA,1,1,1,,NA,NA,1,1,1,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,0,,NA,NA,0,,NA,NA,0,,NA,NA,0
2020,Hancock,9,NA,,0,,6,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,2,,NA,,NA,2,2,2,2,2,2,,NA,NA,78,79,83,78,84,83,80,79,65,,NA,NA,62,62,67,61,66,67,65,64,55,,NA,NA,16,17,16,17,18,16,15,15,10,,NA,NA,142,138,146,133,137,142,138,137,129,,NA,NA,133,129,140,128,131,136,131,127,118,,NA,NA,40,42,41,,NA,NA,2,2,4,,NA,NA,38,40,37,,NA,NA,36,37,28,,NA,NA,1,0,0,NA,NA,NA,2,3,0,,NA,NA,1,1,1,,NA,NA,0,0,0,,NA,NA,20,20,16,,NA,NA,6,5,3,,NA,NA,28,29,30,,NA,NA,9,9,5,,NA,NA,4,6,9,,NA,NA,4,5,5,,NA,NA,36,24,27,,NA,NA,8,5,2,,NA,NA,2,2,2,,NA,NA,9,3,7,,NA,NA,1,1,3,,NA,NA,5,4,3,,NA,NA,26,25,25,25,24,22,19,18,14,,NA,NA,1,1,1,,NA,NA,14,14,9,,NA,NA,0,0,0,,NA,NA,1,2,0,,NA,NA,1,1,0,,NA,NA,1,0,0,,NA,NA,0,0,0,,NA,NA,2,1,2,,NA,NA,37,39,38,38,37,36,34,35,36,35,,NA,NA,59,64,61,58,60,58,59,55,57,59,,NA,NA,3,3,3,,NA,NA,3,3,3,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,2,,NA,NA,0,,NA,NA,0,,NA,NA,0
2020,Kennebec,11,12300,"Augusta-Waterville, ME Micro SA",2,Central,4,4,0,0,0,1,0,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,147,155,148,153,155,151,150,153,135,,NA,NA,107,115,114,119,119,115,118,116,101,,NA,NA,40,40,34,34,36,36,32,37,34,,NA,NA,310,321,319,320,312,311,327,322,306,,NA,NA,286,294,294,296,287,287,295,287,272,,NA,NA,101,109,91,,NA,NA,1,1,0,,NA,NA,91,99,86,,NA,NA,81,80,76,,NA,NA,0,0,1,NA,NA,NA,7,7,4,,NA,NA,4,2,1,,NA,NA,8,7,6,,NA,NA,26,30,31,,NA,NA,13,15,11,,NA,NA,42,47,55,,NA,NA,13,15,16,,NA,NA,7,7,9,,NA,NA,5,6,6,,NA,NA,74,74,74,,NA,NA,12,12,11,,NA,NA,3,4,4,,NA,NA,12,9,12,,NA,NA,7,8,3,,NA,NA,10,13,20,,NA,NA,81,84,82,80,77,75,70,78,70,,NA,NA,1,3,4,,NA,NA,34,35,34,,NA,NA,3,3,3,,NA,NA,3,3,1,,NA,NA,0,0,0,,NA,NA,6,5,2,,NA,NA,2,1,4,,NA,NA,14,13,8,,NA,NA,123,122,113,110,103,97,97,95,88,79,,NA,NA,210,196,177,165,154,139,139,127,121,112,,NA,NA,4,4,4,,NA,NA,3,3,3,,NA,NA,0,0,0,,NA,NA,1,1,1,,NA,NA,0,,NA,NA,1,,NA,NA,1,,NA,NA,2
2020,Knox,13,NA,,0,,7,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,2,,NA,,NA,2,2,2,2,2,2,,NA,NA,40,37,38,36,39,37,37,37,36,,NA,NA,34,31,31,30,33,30,31,31,30,,NA,NA,6,6,7,6,6,7,6,6,6,,NA,NA,102,99,104,103,110,108,112,108,115,,NA,NA,99,95,99,97,104,100,100,97,102,,NA,NA,16,14,15,,NA,NA,0,0,0,,NA,NA,16,14,15,,NA,NA,32,31,33,,NA,NA,0,0,0,NA,NA,NA,3,2,1,,NA,NA,2,0,0,,NA,NA,2,1,1,,NA,NA,13,13,13,,NA,NA,6,6,10,,NA,NA,23,26,25,,NA,NA,5,5,6,,NA,NA,4,5,4,,NA,NA,5,5,4,,NA,NA,31,32,37,,NA,NA,3,4,4,,NA,NA,2,3,3,,NA,NA,11,9,8,,NA,NA,3,4,3,,NA,NA,7,7,6,,NA,NA,15,14,14,12,12,13,12,12,11,,NA,NA,0,0,0,,NA,NA,1,2,2,,NA,NA,0,0,0,,NA,NA,1,0,0,,NA,NA,1,1,0,,NA,NA,3,2,1,,NA,NA,0,0,0,,NA,NA,2,2,3,,NA,NA,16,14,14,14,13,13,11,11,9,9,,NA,NA,42,39,38,38,36,33,29,29,29,24,,NA,NA,1,1,1,,NA,NA,1,1,1,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,0,,NA,NA,0,,NA,NA,0,,NA,NA,1
2020,Lincoln,15,NA,,0,,8,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,2,,NA,NA,2,2,2,2,2,2,2,,NA,,NA,2,2,2,2,2,2,,NA,NA,39,38,38,38,43,43,42,42,42,,NA,NA,36,35,35,34,38,38,37,37,37,,NA,NA,3,3,3,4,5,5,5,5,5,,NA,NA,66,66,67,63,62,63,63,66,71,,NA,NA,63,63,63,61,61,62,62,65,70,,NA,NA,24,23,26,,NA,NA,0,0,1,,NA,NA,24,23,25,,NA,NA,17,18,16,,NA,NA,0,0,0,NA,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,9,9,9,,NA,NA,3,4,4,,NA,NA,12,9,16,,NA,NA,1,1,3,,NA,NA,2,1,2,,NA,NA,1,1,1,,NA,NA,13,13,13,,NA,NA,2,2,2,,NA,NA,0,0,0,,NA,NA,7,6,4,,NA,NA,0,0,0,,NA,NA,2,2,5,,NA,NA,7,7,7,8,9,11,11,10,11,,NA,NA,0,0,0,,NA,NA,2,3,4,,NA,NA,1,1,1,,NA,NA,0,0,1,,NA,NA,1,0,1,,NA,NA,0,0,0,,NA,NA,1,1,1,,NA,NA,1,2,0,,NA,NA,21,19,23,22,18,19,17,19,20,21,,NA,NA,32,33,26,25,25,24,22,23,19,17,,NA,NA,1,1,2,,NA,NA,1,1,2,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,1,,NA,NA,0,,NA,NA,0,,NA,NA,0
2020,Oxford,17,NA,,0,,6,5,0,0,0,0,1,0,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,1,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,35,34,34,36,36,34,36,34,33,,NA,NA,24,24,24,26,27,25,26,24,24,,NA,NA,11,10,10,10,9,9,10,10,9,,NA,NA,56,55,53,56,57,49,50,49,52,,NA,NA,56,55,52,55,56,49,49,46,48,,NA,NA,14,16,12,,NA,NA,0,1,1,,NA,NA,14,15,11,,NA,NA,15,13,13,,NA,NA,0,0,0,NA,NA,NA,1,1,0,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,8,8,9,,NA,NA,4,4,4,,NA,NA,16,16,13,,NA,NA,6,8,5,,NA,NA,7,5,6,,NA,NA,1,1,1,,NA,NA,11,10,11,,NA,NA,0,1,0,,NA,NA,0,0,0,,NA,NA,5,3,3,,NA,NA,0,0,0,,NA,NA,0,0,1,,NA,NA,18,18,19,16,16,18,18,19,18,,NA,NA,1,1,2,,NA,NA,9,9,9,,NA,NA,1,0,0,,NA,NA,0,0,0,,NA,NA,1,1,1,,NA,NA,2,2,3,,NA,NA,0,0,0,,NA,NA,1,1,0,,NA,NA,14,12,12,10,10,9,9,9,9,9,,NA,NA,39,33,39,32,30,27,23,23,16,16,,NA,NA,2,2,2,,NA,NA,2,2,2,,NA,NA,0,0,0,,NA,NA,0,0,0,,NA,NA,2,,NA,NA,0,,NA,NA,0,,NA,NA,0
2020,Penobscot,19,12620,"Bangor, ME Metro SA",1,Central,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,NA,NA,2,2,2,2,2,2,1,,NA,NA,2,2,2,2,2,2,1,,NA,,NA,2,2,2,2,2,1,,NA,NA,196,196,196,193,201,194,181,178,180,,NA,NA,154,155,157,154,164,155,138,133,135,,NA,NA,42,41,39,39,37,39,43,45,45,,NA,NA,529,539,528,520,535,532,505,494,487,,NA,NA,496,507,498,490,497,496,450,443,441,,NA,NA,82,82,73,,NA,NA,0,0,0,,NA,NA,80,79,71,,NA,NA,188,190,171,,NA,NA,2,1,1,NA,NA,NA,15,14,14,,NA,NA,3,4,4,,NA,NA,8,11,8,,NA,NA,66,66,59,,NA,NA,26,30,31,,NA,NA,96,90,83,,NA,NA,27,26,26,,NA,NA,15,14,12,,NA,NA,12,9,8,,NA,NA,151,149,138,,NA,NA,26,31,34,,NA,NA,2,4,4,,NA,NA,29,21,16,,NA,NA,9,12,11,,NA,NA,29,26,23,,NA,NA,73,74,79,77,70,70,72,77,78,,NA,NA,0,1,1,,NA,NA,34,35,46,,NA,NA,4,4,4,,NA,NA,2,2,1,,NA,NA,2,2,2,,NA,NA,6,6,3,,NA,NA,2,2,1,,NA,NA,8,11,6,,NA,NA,189,175,172,152,138,133,126,113,106,100,,NA,NA,381,362,344,334,315,308,291,273,251,239,,NA,NA,6,6,6,,NA,NA,4,4,4,,NA,NA,1,1,1,,NA,NA,1,1,1,,NA,NA,2,,NA,NA,0,,NA,NA,0,,NA,NA,0
