cnty_name,hospital_type,care_type,care_type_year,count,census_year,census_count,popn_est_year,popn_est_count
Androscoggin,stgh,gen_med_surg_care_adult,2021,0,2020,111139,2022,113023
Androscoggin,stgh,gen_med_surg_care_adult,2021,0,2020,111139,2021,111034
Androscoggin,stgh,gen_med_surg_care_adult,2021,0,2010,107702,2022,113023
Androscoggin,stgh,gen_med_surg_care_adult,2021,0,2010,107702,2021,111034
Androscoggin,stgh,gen_med_surg_care_ped,2021,0,2020,111139,2022,113023
Androscoggin,stgh,gen_med_surg_care_ped,2021,0,2020,111139,2021,111034
Androscoggin,stgh,gen_med_surg_care_ped,2021,0,2010,107702,2022,113023
Androscoggin,stgh,gen_med_surg_care_ped,2021,0,2010,107702,2021,111034
Androscoggin,stgh,obstetrc_care,2021,0,2020,111139,2022,113023
Androscoggin,stgh,obstetrc_care,2021,0,2020,111139,2021,111034
Androscoggin,stgh,obstetrc_care,2021,0,2010,107702,2022,113023
Androscoggin,stgh,obstetrc_care,2021,0,2010,107702,2021,111034
Androscoggin,stgh,neonat_icu,2021,0,2020,111139,2022,113023
Androscoggin,stgh,neonat_icu,2021,0,2020,111139,2021,111034
Androscoggin,stgh,neonat_icu,2021,0,2010,107702,2022,113023
Androscoggin,stgh,neonat_icu,2021,0,2010,107702,2021,111034
Androscoggin,stgh,amb_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,amb_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,amb_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,amb_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,air_amb_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,air_amb_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,air_amb_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,air_amb_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,birth_postprtm_rm,2021,0,2020,111139,2022,113023
Androscoggin,stgh,birth_postprtm_rm,2021,0,2020,111139,2021,111034
Androscoggin,stgh,birth_postprtm_rm,2021,0,2010,107702,2022,113023
Androscoggin,stgh,birth_postprtm_rm,2021,0,2010,107702,2021,111034
Androscoggin,stgh,case_mgmt,2021,0,2020,111139,2022,113023
Androscoggin,stgh,case_mgmt,2021,0,2020,111139,2021,111034
Androscoggin,stgh,case_mgmt,2021,0,2010,107702,2022,113023
Androscoggin,stgh,case_mgmt,2021,0,2010,107702,2021,111034
Androscoggin,stgh,chemthpy,2021,0,2020,111139,2022,113023
Androscoggin,stgh,chemthpy,2021,0,2020,111139,2021,111034
Androscoggin,stgh,chemthpy,2021,0,2010,107702,2022,113023
Androscoggin,stgh,chemthpy,2021,0,2010,107702,2021,111034
Androscoggin,stgh,criss_prevn,2021,0,2020,111139,2022,113023
Androscoggin,stgh,criss_prevn,2021,0,2020,111139,2021,111034
Androscoggin,stgh,criss_prevn,2021,0,2010,107702,2022,113023
Androscoggin,stgh,criss_prevn,2021,0,2010,107702,2021,111034
Androscoggin,stgh,ed,2021,0,2020,111139,2022,113023
Androscoggin,stgh,ed,2021,0,2020,111139,2021,111034
Androscoggin,stgh,ed,2021,0,2010,107702,2022,113023
Androscoggin,stgh,ed,2021,0,2010,107702,2021,111034
Androscoggin,stgh,off_camps_ed,2021,0,2020,111139,2022,113023
Androscoggin,stgh,off_camps_ed,2021,0,2020,111139,2021,111034
Androscoggin,stgh,off_camps_ed,2021,0,2010,107702,2022,113023
Androscoggin,stgh,off_camps_ed,2021,0,2010,107702,2021,111034
Androscoggin,stgh,ped_ed,2021,0,2020,111139,2022,113023
Androscoggin,stgh,ped_ed,2021,0,2020,111139,2021,111034
Androscoggin,stgh,ped_ed,2021,0,2010,107702,2022,113023
Androscoggin,stgh,ped_ed,2021,0,2010,107702,2021,111034
Androscoggin,stgh,cert_tram_ctr,2021,0,2020,111139,2022,113023
Androscoggin,stgh,cert_tram_ctr,2021,0,2020,111139,2021,111034
Androscoggin,stgh,cert_tram_ctr,2021,0,2010,107702,2022,113023
Androscoggin,stgh,cert_tram_ctr,2021,0,2010,107702,2021,111034
Androscoggin,stgh,comn_hlth_eductn,2021,0,2020,111139,2022,113023
Androscoggin,stgh,comn_hlth_eductn,2021,0,2020,111139,2021,111034
Androscoggin,stgh,comn_hlth_eductn,2021,0,2010,107702,2022,113023
Androscoggin,stgh,comn_hlth_eductn,2021,0,2010,107702,2021,111034
Androscoggin,stgh,oncolgy_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,oncolgy_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,oncolgy_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,oncolgy_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,prim_care_deprtmnt,2021,0,2020,111139,2022,113023
Androscoggin,stgh,prim_care_deprtmnt,2021,0,2020,111139,2021,111034
Androscoggin,stgh,prim_care_deprtmnt,2021,0,2010,107702,2022,113023
Androscoggin,stgh,prim_care_deprtmnt,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_conslttn_lisn_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_conslttn_lisn_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_conslttn_lisn_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_conslttn_lisn_svc,2021,0,2010,107702,2021,111034
Androscoggin,stnglth,psych_conslt_svc,2021,0,2020,111139,2022,113023
Androscoggin,stnglth,psych_conslt_svc,2021,0,2020,111139,2021,111034
Androscoggin,stnglth,psych_conslt_svc,2021,0,2010,107702,2022,113023
Androscoggin,stnglth,psych_conslt_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_ped_care_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_ped_care_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_ped_care_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_ped_care_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_gertrc_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_gertrc_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_gertrc_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_gertrc_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_eductnl_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_eductnl_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_eductnl_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_eductnl_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_outpt_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_outpt_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_outpt_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_outpt_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_intensv_outpt_svc,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_intensv_outpt_svc,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_intensv_outpt_svc,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_intensv_outpt_svc,2021,0,2010,107702,2021,111034
Androscoggin,sth,socl_comn_psych_svc,2021,0,2020,111139,2022,113023
Androscoggin,sth,socl_comn_psych_svc,2021,0,2020,111139,2021,111034
Androscoggin,sth,socl_comn_psych_svc,2021,0,2010,107702,2022,113023
Androscoggin,sth,socl_comn_psych_svc,2021,0,2010,107702,2021,111034
Androscoggin,sth,natal_postprtm_psych_svc,2021,0,2020,111139,2022,113023
Androscoggin,sth,natal_postprtm_psych_svc,2021,0,2020,111139,2021,111034
Androscoggin,sth,natal_postprtm_psych_svc,2021,0,2010,107702,2022,113023
Androscoggin,sth,natal_postprtm_psych_svc,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_php_adult,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_php_adult,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_php_adult,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_php_adult,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_php_ped,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_php_ped,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_php_ped,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_php_ped,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_rsdntl_tx_adult,2021,0,2020,111139,2022,113023
Androscoggin,stgh,psych_rsdntl_tx_adult,2021,0,2020,111139,2021,111034
Androscoggin,stgh,psych_rsdntl_tx_adult,2021,0,2010,107702,2022,113023
Androscoggin,stgh,psych_rsdntl_tx_adult,2021,0,2010,107702,2021,111034
Androscoggin,stgh,psych_rsdntl_tx_ped,2021,0,2020,111139,2022,113023
