county_name,census_year,popn_count
Androscoggin,2020,111139
Androscoggin,2010,107702
Aroostook,2020,67105
Aroostook,2010,71870
Cumberland,2020,303069
Cumberland,2010,281674
Franklin,2020,29456
Franklin,2010,30768
Hancock,2020,55478
Hancock,2010,54418
Kennebec,2020,123642
Kennebec,2010,122151
Knox,2020,40607
Knox,2010,39736
Lincoln,2020,35237
Lincoln,2010,34457
Oxford,2020,57777
Oxford,2010,57833
Penobscot,2020,152199
Penobscot,2010,153923
Piscataquis,2020,16800
Piscataquis,2010,17535
Sagadahoc,2020,36699
Sagadahoc,2010,35293
Somerset,2020,50477
Somerset,2010,52228
Waldo,2020,39607
Waldo,2010,38786
Washington,2020,31095
Washington,2010,32856
York,2020,211972
York,2010,197131
