county_name,hosp_adm_count_year,hosp_adm_count,stgh_hosp_count,stnglth_hosp_count,sth_comn_hosp_count,census_year,census_count,popn_est_year,popn_est_count
Androscoggin,2021,13727,13727,0,13727,2020,111139,2022,113023
Androscoggin,2021,13727,13727,0,13727,2020,111139,2021,111034
Androscoggin,2021,13727,13727,0,13727,2010,107702,2022,113023
Androscoggin,2021,13727,13727,0,13727,2010,107702,2021,111034
Androscoggin,2020,14158,14158,0,14158,2020,111139,2022,113023
Androscoggin,2020,14158,14158,0,14158,2020,111139,2021,111034
Androscoggin,2020,14158,14158,0,14158,2010,107702,2022,113023
Androscoggin,2020,14158,14158,0,14158,2010,107702,2021,111034
Aroostook,2021,5013,5013,0,5013,2020,67105,2022,67255
Aroostook,2021,5013,5013,0,5013,2020,67105,2021,66859
Aroostook,2021,5013,5013,0,5013,2010,71870,2022,67255
Aroostook,2021,5013,5013,0,5013,2010,71870,2021,66859
Aroostook,2020,5411,5411,0,5411,2020,67105,2022,67255
Aroostook,2020,5411,5411,0,5411,2020,67105,2021,66859
Aroostook,2020,5411,5411,0,5411,2010,71870,2022,67255
Aroostook,2020,5411,5411,0,5411,2010,71870,2021,66859
Cumberland,2021,39049,35656,3393,37449,2020,303069,2022,307451
Cumberland,2021,39049,35656,3393,37449,2020,303069,2021,305231
Cumberland,2021,39049,35656,3393,37449,2010,281674,2022,307451
Cumberland,2021,39049,35656,3393,37449,2010,281674,2021,305231
Cumberland,2020,40838,37046,3792,38779,2020,303069,2022,307451
Cumberland,2020,40838,37046,3792,38779,2020,303069,2021,305231
Cumberland,2020,40838,37046,3792,38779,2010,281674,2022,307451
Cumberland,2020,40838,37046,3792,38779,2010,281674,2021,305231
Franklin,2021,1422,1422,0,1422,2020,29456,2022,30474
Franklin,2021,1422,1422,0,1422,2020,29456,2021,29687
Franklin,2021,1422,1422,0,1422,2010,30768,2022,30474
Franklin,2021,1422,1422,0,1422,2010,30768,2021,29687
Franklin,2020,1475,1475,0,1475,2020,29456,2022,30474
Franklin,2020,1475,1475,0,1475,2020,29456,2021,29687
Franklin,2020,1475,1475,0,1475,2010,30768,2022,30474
Franklin,2020,1475,1475,0,1475,2010,30768,2021,29687
Hancock,2021,2867,2867,0,2867,2020,55478,2022,56701
Hancock,2021,2867,2867,0,2867,2020,55478,2021,56192
Hancock,2021,2867,2867,0,2867,2010,54418,2022,56701
Hancock,2021,2867,2867,0,2867,2010,54418,2021,56192
Hancock,2020,3058,3058,0,3058,2020,55478,2022,56701
Hancock,2020,3058,3058,0,3058,2020,55478,2021,56192
Hancock,2020,3058,3058,0,3058,2010,54418,2022,56701
Hancock,2020,3058,3058,0,3058,2010,54418,2021,56192
Kennebec,2021,11841,11732,109,9504,2020,123642,2022,125540
Kennebec,2021,11841,11732,109,9504,2020,123642,2021,124486
Kennebec,2021,11841,11732,109,9504,2010,122151,2022,125540
Kennebec,2021,11841,11732,109,9504,2010,122151,2021,124486
Kennebec,2020,13026,12695,331,9880,2020,123642,2022,125540
Kennebec,2020,13026,12695,331,9880,2020,123642,2021,124486
Kennebec,2020,13026,12695,331,9880,2010,122151,2022,125540
Kennebec,2020,13026,12695,331,9880,2010,122151,2021,124486
Knox,2021,2597,2597,0,2597,2020,40607,2022,41164
Knox,2021,2597,2597,0,2597,2020,40607,2021,41084
Knox,2021,2597,2597,0,2597,2010,39736,2022,41164
Knox,2021,2597,2597,0,2597,2010,39736,2021,41084
Knox,2020,2686,2686,0,2686,2020,40607,2022,41164
Knox,2020,2686,2686,0,2686,2020,40607,2021,41084
Knox,2020,2686,2686,0,2686,2010,39736,2022,41164
Knox,2020,2686,2686,0,2686,2010,39736,2021,41084
Lincoln,2021,1304,1304,0,1304,2020,35237,2022,36215
Lincoln,2021,1304,1304,0,1304,2020,35237,2021,35828
Lincoln,2021,1304,1304,0,1304,2010,34457,2022,36215
Lincoln,2021,1304,1304,0,1304,2010,34457,2021,35828
Lincoln,2020,1402,1402,0,1402,2020,35237,2022,36215
Lincoln,2020,1402,1402,0,1402,2020,35237,2021,35828
Lincoln,2020,1402,1402,0,1402,2010,34457,2022,36215
Lincoln,2020,1402,1402,0,1402,2010,34457,2021,35828
