county_name,hpsa_prim_care_data_year,hpsa_pc_score
Androscoggin,2020,2
Androscoggin,2019,2
Androscoggin,2018,2
Androscoggin,2017,2
Androscoggin,2016,2
Androscoggin,2015,2
Androscoggin,2010,2
Aroostook,2020,2
Aroostook,2019,2
Aroostook,2018,2
Aroostook,2017,2
Aroostook,2016,2
Aroostook,2015,2
Aroostook,2010,1
Cumberland,2020,2
Cumberland,2019,2
Cumberland,2018,2
Cumberland,2017,2
Cumberland,2016,2
Cumberland,2015,2
Cumberland,2010,1
Franklin,2020,2
Franklin,2019,2
Franklin,2018,2
Franklin,2017,2
Franklin,2016,2
Franklin,2015,2
Franklin,2010,2
Hancock,2020,2
Hancock,2019,2
Hancock,2018,2
Hancock,2017,2
Hancock,2016,2
Hancock,2015,2
Hancock,2010,2
Kennebec,2020,2
Kennebec,2019,2
Kennebec,2018,2
Kennebec,2017,2
Kennebec,2016,2
Kennebec,2015,2
Kennebec,2010,2
Knox,2020,2
Knox,2019,2
Knox,2018,2
Knox,2017,2
Knox,2016,2
Knox,2015,2
Knox,2010,2
Lincoln,2020,2
Lincoln,2019,2
Lincoln,2018,2
Lincoln,2017,2
Lincoln,2016,2
Lincoln,2015,2
Lincoln,2010,2
Oxford,2020,2
Oxford,2019,2
Oxford,2018,2
Oxford,2017,2
Oxford,2016,2
Oxford,2015,2
Oxford,2010,1
Penobscot,2020,2
Penobscot,2019,2
Penobscot,2018,2
Penobscot,2017,2
Penobscot,2016,2
Penobscot,2015,2
Penobscot,2010,1
Piscataquis,2020,2
Piscataquis,2019,2
Piscataquis,2018,2
Piscataquis,2017,2
Piscataquis,2016,2
Piscataquis,2015,2
Piscataquis,2010,1
Sagadahoc,2020,0
Sagadahoc,2019,0
Sagadahoc,2018,0
Sagadahoc,2017,0
Sagadahoc,2016,0
Sagadahoc,2015,0
Sagadahoc,2010,0
Somerset,2020,2
Somerset,2019,2
Somerset,2018,2
Somerset,2017,2
Somerset,2016,2
Somerset,2015,2
Somerset,2010,1
Waldo,2020,2
Waldo,2019,2
Waldo,2018,2
Waldo,2017,2
Waldo,2016,2
Waldo,2015,2
Waldo,2010,2
Washington,2020,2
Washington,2019,2
Washington,2018,2
Washington,2017,2
Washington,2016,2
Washington,2015,2
Washington,2010,1
York,2020,2
York,2019,2
York,2018,2
York,2017,2
York,2016,2
York,2015,2
York,2010,2
Androscoggin,2021,2
Aroostook,2021,2
Cumberland,2021,2
Franklin,2021,2
Hancock,2021,2
Kennebec,2021,2
Knox,2021,2
Lincoln,2021,2
Oxford,2021,2
Penobscot,2021,2
Piscataquis,2021,2
Sagadahoc,2021,0
Somerset,2021,2
Waldo,2021,2
Washington,2021,2
York,2021,2
Androscoggin,2022,2
Aroostook,2022,2
Cumberland,2022,2
Franklin,2022,2
Hancock,2022,2
Kennebec,2022,2
Knox,2022,2
Lincoln,2022,2
Oxford,2022,2
Penobscot,2022,2
Piscataquis,2022,2
Sagadahoc,2022,0
Somerset,2022,2
Waldo,2022,2
Washington,2022,2
York,2022,2
Androscoggin,2023,2
Aroostook,2023,2
Cumberland,2023,2
Franklin,2023,2
Hancock,2023,2
Kennebec,2023,2
Knox,2023,2
Lincoln,2023,2
Oxford,2023,2
Penobscot,2023,2
Piscataquis,2023,2
Sagadahoc,2023,0
Somerset,2023,2
Waldo,2023,2
Washington,2023,2
York,2023,2
