county_name,pc_physician_count_year,pc_physician_count,md_pc_count,do_pc_count,census_year,census_count,popn_est_year,popn_est_count
Androscoggin,2018,94,70,24,2020,111139,2022,113023
Androscoggin,2018,94,70,24,2020,111139,2021,111034
Androscoggin,2018,94,70,24,2010,107702,2022,113023
Androscoggin,2018,94,70,24,2010,107702,2021,111034
Androscoggin,2017,88,64,24,2020,111139,2022,113023
Androscoggin,2017,88,64,24,2020,111139,2021,111034
Androscoggin,2017,88,64,24,2010,107702,2022,113023
Androscoggin,2017,88,64,24,2010,107702,2021,111034
Androscoggin,2016,91,65,26,2020,111139,2022,113023
Androscoggin,2016,91,65,26,2020,111139,2021,111034
Androscoggin,2016,91,65,26,2010,107702,2022,113023
Androscoggin,2016,91,65,26,2010,107702,2021,111034
Androscoggin,2015,94,68,26,2020,111139,2022,113023
Androscoggin,2015,94,68,26,2020,111139,2021,111034
Androscoggin,2015,94,68,26,2010,107702,2022,113023
Androscoggin,2015,94,68,26,2010,107702,2021,111034
Androscoggin,2014,88,63,25,2020,111139,2022,113023
Androscoggin,2014,88,63,25,2020,111139,2021,111034
Androscoggin,2014,88,63,25,2010,107702,2022,113023
Androscoggin,2014,88,63,25,2010,107702,2021,111034
Androscoggin,2013,91,67,24,2020,111139,2022,113023
Androscoggin,2013,91,67,24,2020,111139,2021,111034
Androscoggin,2013,91,67,24,2010,107702,2022,113023
Androscoggin,2013,91,67,24,2010,107702,2021,111034
Androscoggin,2012,78,58,20,2020,111139,2022,113023
Androscoggin,2012,78,58,20,2020,111139,2021,111034
Androscoggin,2012,78,58,20,2010,107702,2022,113023
Androscoggin,2012,78,58,20,2010,107702,2021,111034
Androscoggin,2011,85,66,19,2020,111139,2022,113023
Androscoggin,2011,85,66,19,2020,111139,2021,111034
Androscoggin,2011,85,66,19,2010,107702,2022,113023
Androscoggin,2011,85,66,19,2010,107702,2021,111034
Androscoggin,2010,93,75,18,2020,111139,2022,113023
Androscoggin,2010,93,75,18,2020,111139,2021,111034
Androscoggin,2010,93,75,18,2010,107702,2022,113023
Androscoggin,2010,93,75,18,2010,107702,2021,111034
Aroostook,2018,74,66,8,2020,67105,2022,67255
Aroostook,2018,74,66,8,2020,67105,2021,66859
Aroostook,2018,74,66,8,2010,71870,2022,67255
Aroostook,2018,74,66,8,2010,71870,2021,66859
Aroostook,2017,72,64,8,2020,67105,2022,67255
Aroostook,2017,72,64,8,2020,67105,2021,66859
Aroostook,2017,72,64,8,2010,71870,2022,67255
Aroostook,2017,72,64,8,2010,71870,2021,66859
Aroostook,2016,64,58,6,2020,67105,2022,67255
Aroostook,2016,64,58,6,2020,67105,2021,66859
Aroostook,2016,64,58,6,2010,71870,2022,67255
Aroostook,2016,64,58,6,2010,71870,2021,66859
Aroostook,2015,64,57,7,2020,67105,2022,67255
Aroostook,2015,64,57,7,2020,67105,2021,66859
Aroostook,2015,64,57,7,2010,71870,2022,67255
Aroostook,2015,64,57,7,2010,71870,2021,66859
Aroostook,2014,59,53,6,2020,67105,2022,67255
Aroostook,2014,59,53,6,2020,67105,2021,66859
Aroostook,2014,59,53,6,2010,71870,2022,67255
Aroostook,2014,59,53,6,2010,71870,2021,66859
Aroostook,2013,62,55,7,2020,67105,2022,67255
Aroostook,2013,62,55,7,2020,67105,2021,66859
Aroostook,2013,62,55,7,2010,71870,2022,67255
Aroostook,2013,62,55,7,2010,71870,2021,66859
Aroostook,2012,62,53,9,2020,67105,2022,67255
Aroostook,2012,62,53,9,2020,67105,2021,66859
Aroostook,2012,62,53,9,2010,71870,2022,67255
Aroostook,2012,62,53,9,2010,71870,2021,66859
Aroostook,2011,62,53,9,2020,67105,2022,67255
Aroostook,2011,62,53,9,2020,67105,2021,66859
Aroostook,2011,62,53,9,2010,71870,2022,67255
Aroostook,2011,62,53,9,2010,71870,2021,66859
Aroostook,2010,64,55,9,2020,67105,2022,67255
Aroostook,2010,64,55,9,2020,67105,2021,66859
Aroostook,2010,64,55,9,2010,71870,2022,67255
Aroostook,2010,64,55,9,2010,71870,2021,66859
Cumberland,2018,492,377,115,2020,303069,2022,307451
Cumberland,2018,492,377,115,2020,303069,2021,305231
Cumberland,2018,492,377,115,2010,281674,2022,307451
Cumberland,2018,492,377,115,2010,281674,2021,305231
Cumberland,2017,486,373,113,2020,303069,2022,307451
Cumberland,2017,486,373,113,2020,303069,2021,305231
Cumberland,2017,486,373,113,2010,281674,2022,307451
Cumberland,2017,486,373,113,2010,281674,2021,305231
Cumberland,2016,488,371,117,2020,303069,2022,307451
Cumberland,2016,488,371,117,2020,303069,2021,305231
Cumberland,2016,488,371,117,2010,281674,2022,307451
Cumberland,2016,488,371,117,2010,281674,2021,305231
Cumberland,2015,471,359,112,2020,303069,2022,307451
Cumberland,2015,471,359,112,2020,303069,2021,305231
Cumberland,2015,471,359,112,2010,281674,2022,307451
Cumberland,2015,471,359,112,2010,281674,2021,305231
Cumberland,2014,455,347,108,2020,303069,2022,307451
Cumberland,2014,455,347,108,2020,303069,2021,305231
Cumberland,2014,455,347,108,2010,281674,2022,307451
Cumberland,2014,455,347,108,2010,281674,2021,305231
Cumberland,2013,445,347,98,2020,303069,2022,307451
Cumberland,2013,445,347,98,2020,303069,2021,305231
Cumberland,2013,445,347,98,2010,281674,2022,307451
Cumberland,2013,445,347,98,2010,281674,2021,305231
Cumberland,2012,443,349,94,2020,303069,2022,307451
Cumberland,2012,443,349,94,2020,303069,2021,305231
Cumberland,2012,443,349,94,2010,281674,2022,307451
Cumberland,2012,443,349,94,2010,281674,2021,305231
Cumberland,2011,440,342,98,2020,303069,2022,307451
Cumberland,2011,440,342,98,2020,303069,2021,305231
Cumberland,2011,440,342,98,2010,281674,2022,307451
Cumberland,2011,440,342,98,2010,281674,2021,305231
Cumberland,2010,429,338,91,2020,303069,2022,307451
Cumberland,2010,429,338,91,2020,303069,2021,305231
Cumberland,2010,429,338,91,2010,281674,2022,307451
Cumberland,2010,429,338,91,2010,281674,2021,305231
Franklin,2018,32,21,11,2020,29456,2022,30474
Franklin,2018,32,21,11,2020,29456,2021,29687
Franklin,2018,32,21,11,2010,30768,2022,30474
Franklin,2018,32,21,11,2010,30768,2021,29687
Franklin,2017,32,21,11,2020,29456,2022,30474
Franklin,2017,32,21,11,2020,29456,2021,29687
Franklin,2017,32,21,11,2010,30768,2022,30474
Franklin,2017,32,21,11,2010,30768,2021,29687
Franklin,2016,34,23,11,2020,29456,2022,30474
Franklin,2016,34,23,11,2020,29456,2021,29687
Franklin,2016,34,23,11,2010,30768,2022,30474
Franklin,2016,34,23,11,2010,30768,2021,29687
Franklin,2015,34,23,11,2020,29456,2022,30474
Franklin,2015,34,23,11,2020,29456,2021,29687
Franklin,2015,34,23,11,2010,30768,2022,30474
Franklin,2015,34,23,11,2010,30768,2021,29687
Franklin,2014,36,24,12,2020,29456,2022,30474
Franklin,2014,36,24,12,2020,29456,2021,29687
Franklin,2014,36,24,12,2010,30768,2022,30474
Franklin,2014,36,24,12,2010,30768,2021,29687
Franklin,2013,38,26,12,2020,29456,2022,30474
Franklin,2013,38,26,12,2020,29456,2021,29687
Franklin,2013,38,26,12,2010,30768,2022,30474
Franklin,2013,38,26,12,2010,30768,2021,29687
Franklin,2012,34,24,10,2020,29456,2022,30474
Franklin,2012,34,24,10,2020,29456,2021,29687
Franklin,2012,34,24,10,2010,30768,2022,30474
Franklin,2012,34,24,10,2010,30768,2021,29687
Franklin,2011,37,28,9,2020,29456,2022,30474
Franklin,2011,37,28,9,2020,29456,2021,29687
Franklin,2011,37,28,9,2010,30768,2022,30474
Franklin,2011,37,28,9,2010,30768,2021,29687
Franklin,2010,36,26,10,2020,29456,2022,30474
Franklin,2010,36,26,10,2020,29456,2021,29687
Franklin,2010,36,26,10,2010,30768,2022,30474
Franklin,2010,36,26,10,2010,30768,2021,29687
Hancock,2018,78,62,16,2020,55478,2022,56701
Hancock,2018,78,62,16,2020,55478,2021,56192
Hancock,2018,78,62,16,2010,54418,2022,56701
Hancock,2018,78,62,16,2010,54418,2021,56192
Hancock,2017,79,62,17,2020,55478,2022,56701
Hancock,2017,79,62,17,2020,55478,2021,56192
Hancock,2017,79,62,17,2010,54418,2022,56701
Hancock,2017,79,62,17,2010,54418,2021,56192
Hancock,2016,83,67,16,2020,55478,2022,56701
Hancock,2016,83,67,16,2020,55478,2021,56192
Hancock,2016,83,67,16,2010,54418,2022,56701
Hancock,2016,83,67,16,2010,54418,2021,56192
Hancock,2015,78,61,17,2020,55478,2022,56701
Hancock,2015,78,61,17,2020,55478,2021,56192
Hancock,2015,78,61,17,2010,54418,2022,56701
Hancock,2015,78,61,17,2010,54418,2021,56192
Hancock,2014,84,66,18,2020,55478,2022,56701
Hancock,2014,84,66,18,2020,55478,2021,56192
Hancock,2014,84,66,18,2010,54418,2022,56701
Hancock,2014,84,66,18,2010,54418,2021,56192
Hancock,2013,83,67,16,2020,55478,2022,56701
Hancock,2013,83,67,16,2020,55478,2021,56192
Hancock,2013,83,67,16,2010,54418,2022,56701
Hancock,2013,83,67,16,2010,54418,2021,56192
Hancock,2012,80,65,15,2020,55478,2022,56701
Hancock,2012,80,65,15,2020,55478,2021,56192
Hancock,2012,80,65,15,2010,54418,2022,56701
Hancock,2012,80,65,15,2010,54418,2021,56192
Hancock,2011,79,64,15,2020,55478,2022,56701
Hancock,2011,79,64,15,2020,55478,2021,56192
Hancock,2011,79,64,15,2010,54418,2022,56701
Hancock,2011,79,64,15,2010,54418,2021,56192
Hancock,2010,65,55,10,2020,55478,2022,56701
Hancock,2010,65,55,10,2020,55478,2021,56192
Hancock,2010,65,55,10,2010,54418,2022,56701
Hancock,2010,65,55,10,2010,54418,2021,56192
Kennebec,2018,147,107,40,2020,123642,2022,125540
Kennebec,2018,147,107,40,2020,123642,2021,124486
Kennebec,2018,147,107,40,2010,122151,2022,125540
Kennebec,2018,147,107,40,2010,122151,2021,124486
Kennebec,2017,155,115,40,2020,123642,2022,125540
Kennebec,2017,155,115,40,2020,123642,2021,124486
Kennebec,2017,155,115,40,2010,122151,2022,125540
Kennebec,2017,155,115,40,2010,122151,2021,124486
Kennebec,2016,148,114,34,2020,123642,2022,125540
Kennebec,2016,148,114,34,2020,123642,2021,124486
Kennebec,2016,148,114,34,2010,122151,2022,125540
Kennebec,2016,148,114,34,2010,122151,2021,124486
Kennebec,2015,153,119,34,2020,123642,2022,125540
Kennebec,2015,153,119,34,2020,123642,2021,124486
Kennebec,2015,153,119,34,2010,122151,2022,125540
Kennebec,2015,153,119,34,2010,122151,2021,124486
Kennebec,2014,155,119,36,2020,123642,2022,125540
Kennebec,2014,155,119,36,2020,123642,2021,124486
Kennebec,2014,155,119,36,2010,122151,2022,125540
Kennebec,2014,155,119,36,2010,122151,2021,124486
Kennebec,2013,151,115,36,2020,123642,2022,125540
