county_name,md_data_year,active_md_count,all_md_patient_care_count
Androscoggin,2018,246,218
Androscoggin,2017,244,215
Androscoggin,2016,245,219
Androscoggin,2015,246,221
Androscoggin,2014,237,215
Androscoggin,2013,239,216
Androscoggin,2012,234,204
Androscoggin,2011,243,215
Androscoggin,2010,259,227
Aroostook,2018,152,145
Aroostook,2017,147,144
Aroostook,2016,135,132
Aroostook,2015,135,133
Aroostook,2014,129,127
Aroostook,2013,137,132
Aroostook,2012,143,133
Aroostook,2011,140,130
Aroostook,2010,139,127
Cumberland,2018,1668,1546
Cumberland,2017,1652,1528
Cumberland,2016,1615,1489
Cumberland,2015,1591,1470
Cumberland,2014,1543,1431
Cumberland,2013,1515,1395
Cumberland,2012,1495,1342
Cumberland,2011,1475,1317
Cumberland,2010,1464,1303
Franklin,2018,43,40
Franklin,2017,46,43
Franklin,2016,46,44
Franklin,2015,47,44
Franklin,2014,52,50
Franklin,2013,52,50
Franklin,2012,48,46
Franklin,2011,53,50
Franklin,2010,53,51
Hancock,2018,142,133
Hancock,2017,138,129
Hancock,2016,146,140
Hancock,2015,133,128
Hancock,2014,137,131
Hancock,2013,142,136
Hancock,2012,138,131
Hancock,2011,137,127
Hancock,2010,129,118
Kennebec,2018,310,286
Kennebec,2017,321,294
Kennebec,2016,319,294
Kennebec,2015,320,296
Kennebec,2014,312,287
Kennebec,2013,311,287
Kennebec,2012,327,295
Kennebec,2011,322,287
Kennebec,2010,306,272
Knox,2018,102,99
Knox,2017,99,95
Knox,2016,104,99
Knox,2015,103,97
Knox,2014,110,104
Knox,2013,108,100
Knox,2012,112,100
Knox,2011,108,97
Knox,2010,115,102
Lincoln,2018,66,63
Lincoln,2017,66,63
Lincoln,2016,67,63
Lincoln,2015,63,61
Lincoln,2014,62,61
Lincoln,2013,63,62
Lincoln,2012,63,62
Lincoln,2011,66,65
Lincoln,2010,71,70
Oxford,2018,56,56
Oxford,2017,55,55
Oxford,2016,53,52
Oxford,2015,56,55
Oxford,2014,57,56
Oxford,2013,49,49
Oxford,2012,50,49
Oxford,2011,49,46
Oxford,2010,52,48
Penobscot,2018,529,496
Penobscot,2017,539,507
Penobscot,2016,528,498
Penobscot,2015,520,490
Penobscot,2014,535,497
Penobscot,2013,532,496
Penobscot,2012,505,450
Penobscot,2011,494,443
Penobscot,2010,487,441
Piscataquis,2018,26,25
Piscataquis,2017,28,27
Piscataquis,2016,28,27
Piscataquis,2015,29,28
Piscataquis,2014,30,29
Piscataquis,2013,30,29
Piscataquis,2012,29,28
Piscataquis,2011,29,29
Piscataquis,2010,28,28
Sagadahoc,2018,40,38
Sagadahoc,2017,41,38
Sagadahoc,2016,40,36
Sagadahoc,2015,38,34
Sagadahoc,2014,39,35
Sagadahoc,2013,39,35
Sagadahoc,2012,39,36
Sagadahoc,2011,37,34
Sagadahoc,2010,40,38
Somerset,2018,50,46
Somerset,2017,51,47
Somerset,2016,56,52
Somerset,2015,57,53
Somerset,2014,49,46
Somerset,2013,58,54
Somerset,2012,58,53
Somerset,2011,51,47
Somerset,2010,60,55
Waldo,2018,62,60
Waldo,2017,60,58
Waldo,2016,62,60
Waldo,2015,60,57
Waldo,2014,65,62
Waldo,2013,62,58
Waldo,2012,66,63
Waldo,2011,70,68
Waldo,2010,72,68
Washington,2018,36,34
Washington,2017,37,35
Washington,2016,35,33
Washington,2015,34,32
Washington,2014,33,31
Washington,2013,32,30
Washington,2012,35,33
Washington,2011,41,38
Washington,2010,39,37
York,2018,259,249
York,2017,259,249
York,2016,262,251
York,2015,264,255
York,2014,270,260
York,2013,269,260
York,2012,266,253
York,2011,268,255
York,2010,271,258
Androscoggin,2019,245,214
Aroostook,2019,153,144
Cumberland,2019,1711,1578
Franklin,2019,42,39
Hancock,2019,128,121
Kennebec,2019,316,288
Knox,2019,108,104
Lincoln,2019,67,63
Oxford,2019,56,56
Penobscot,2019,513,481
Piscataquis,2019,29,28
Sagadahoc,2019,41,39
Somerset,2019,49,45
Waldo,2019,62,60
Washington,2019,33,31
York,2019,264,250
Androscoggin,2020,237,206
Aroostook,2020,151,141
Cumberland,2020,1741,1601
Franklin,2020,42,39
Hancock,2020,126,118
Kennebec,2020,312,282
Knox,2020,113,109
Lincoln,2020,70,66
Oxford,2020,56,56
Penobscot,2020,526,491
Piscataquis,2020,27,26
Sagadahoc,2020,41,39
Somerset,2020,51,45
Waldo,2020,60,57
Washington,2020,34,31
York,2020,273,261
Androscoggin,2021,228,196
Aroostook,2021,157,146
Cumberland,2021,1796,1646
Franklin,2021,43,40
Hancock,2021,119,111
Kennebec,2021,314,285
Knox,2021,114,110
Lincoln,2021,71,68
Oxford,2021,55,55
Penobscot,2021,536,499
Piscataquis,2021,24,23
Sagadahoc,2021,41,39
Somerset,2021,58,52
Waldo,2021,63,60
Washington,2021,36,33
York,2021,271,259
