cnty_name,np_year,np_count,clin_nurse_count,crna_count,apn_midwives_count,census_year,census_count,popn_est_year,popn_est_count
Androscoggin,2022,203,4,63,9,2020,111139,2022,113023
Androscoggin,2022,203,4,63,9,2020,111139,2021,111034
Androscoggin,2022,203,4,63,9,2010,107702,2022,113023
Androscoggin,2022,203,4,63,9,2010,107702,2021,111034
Androscoggin,2021,202,4,63,9,2020,111139,2022,113023
Androscoggin,2021,202,4,63,9,2020,111139,2021,111034
Androscoggin,2021,202,4,63,9,2010,107702,2022,113023
Androscoggin,2021,202,4,63,9,2010,107702,2021,111034
Aroostook,2022,101,0,13,4,2020,67105,2022,67255
Aroostook,2022,101,0,13,4,2020,67105,2021,66859
Aroostook,2022,101,0,13,4,2010,71870,2022,67255
Aroostook,2022,101,0,13,4,2010,71870,2021,66859
Aroostook,2021,98,0,13,4,2020,67105,2022,67255
Aroostook,2021,98,0,13,4,2020,67105,2021,66859
Aroostook,2021,98,0,13,4,2010,71870,2022,67255
Aroostook,2021,98,0,13,4,2010,71870,2021,66859
Cumberland,2022,626,20,150,18,2020,303069,2022,307451
Cumberland,2022,626,20,150,18,2020,303069,2021,305231
Cumberland,2022,626,20,150,18,2010,281674,2022,307451
Cumberland,2022,626,20,150,18,2010,281674,2021,305231
Cumberland,2021,573,20,150,18,2020,303069,2022,307451
Cumberland,2021,573,20,150,18,2020,303069,2021,305231
Cumberland,2021,573,20,150,18,2010,281674,2022,307451
Cumberland,2021,573,20,150,18,2010,281674,2021,305231
Franklin,2022,28,0,0,1,2020,29456,2022,30474
Franklin,2022,28,0,0,1,2020,29456,2021,29687
Franklin,2022,28,0,0,1,2010,30768,2022,30474
Franklin,2022,28,0,0,1,2010,30768,2021,29687
Franklin,2021,25,0,0,1,2020,29456,2022,30474
Franklin,2021,25,0,0,1,2020,29456,2021,29687
Franklin,2021,25,0,0,1,2010,30768,2022,30474
Franklin,2021,25,0,0,1,2010,30768,2021,29687
Hancock,2022,48,3,11,8,2020,55478,2022,56701
Hancock,2022,48,3,11,8,2020,55478,2021,56192
Hancock,2022,48,3,11,8,2010,54418,2022,56701
Hancock,2022,48,3,11,8,2010,54418,2021,56192
Hancock,2021,48,3,11,8,2020,55478,2022,56701
Hancock,2021,48,3,11,8,2020,55478,2021,56192
Hancock,2021,48,3,11,8,2010,54418,2022,56701
Hancock,2021,48,3,11,8,2010,54418,2021,56192
Kennebec,2022,222,3,30,9,2020,123642,2022,125540
Kennebec,2022,222,3,30,9,2020,123642,2021,124486
Kennebec,2022,222,3,30,9,2010,122151,2022,125540
Kennebec,2022,222,3,30,9,2010,122151,2021,124486
Kennebec,2021,200,3,30,9,2020,123642,2022,125540
Kennebec,2021,200,3,30,9,2020,123642,2021,124486
Kennebec,2021,200,3,30,9,2010,122151,2022,125540
Kennebec,2021,200,3,30,9,2010,122151,2021,124486
Knox,2022,43,2,2,9,2020,40607,2022,41164
Knox,2022,43,2,2,9,2020,40607,2021,41084
Knox,2022,43,2,2,9,2010,39736,2022,41164
Knox,2022,43,2,2,9,2010,39736,2021,41084
Knox,2021,38,2,2,9,2020,40607,2022,41164
Knox,2021,38,2,2,9,2020,40607,2021,41084
Knox,2021,38,2,2,9,2010,39736,2022,41164
Knox,2021,38,2,2,9,2010,39736,2021,41084
Lincoln,2022,34,2,11,4,2020,35237,2022,36215
Lincoln,2022,34,2,11,4,2020,35237,2021,35828
Lincoln,2022,34,2,11,4,2010,34457,2022,36215
Lincoln,2022,34,2,11,4,2010,34457,2021,35828
Lincoln,2021,30,2,11,4,2020,35237,2022,36215
Lincoln,2021,30,2,11,4,2020,35237,2021,35828
Lincoln,2021,30,2,11,4,2010,34457,2022,36215
Lincoln,2021,30,2,11,4,2010,34457,2021,35828
Oxford,2022,39,1,5,0,2020,57777,2022,59495
Oxford,2022,39,1,5,0,2020,57777,2021,58629
Oxford,2022,39,1,5,0,2010,57833,2022,59495
Oxford,2022,39,1,5,0,2010,57833,2021,58629
Oxford,2021,39,1,5,0,2020,57777,2022,59495
Oxford,2021,39,1,5,0,2020,57777,2021,58629
Oxford,2021,39,1,5,0,2010,57833,2022,59495
Oxford,2021,39,1,5,0,2010,57833,2021,58629
Penobscot,2022,363,8,78,12,2020,152199,2022,153704
Penobscot,2022,363,8,78,12,2020,152199,2021,152765
Penobscot,2022,363,8,78,12,2010,153923,2022,153704
Penobscot,2022,363,8,78,12,2010,153923,2021,152765
Penobscot,2021,343,8,78,12,2020,152199,2022,153704
Penobscot,2021,343,8,78,12,2020,152199,2021,152765
Penobscot,2021,343,8,78,12,2010,153923,2022,153704
Penobscot,2021,343,8,78,12,2010,153923,2021,152765
Piscataquis,2022,13,0,4,0,2020,16800,2022,17417
Piscataquis,2022,13,0,4,0,2020,16800,2021,17165
Piscataquis,2022,13,0,4,0,2010,17535,2022,17417
Piscataquis,2022,13,0,4,0,2010,17535,2021,17165
Piscataquis,2021,11,0,4,0,2020,16800,2022,17417
Piscataquis,2021,11,0,4,0,2020,16800,2021,17165
Piscataquis,2021,11,0,4,0,2010,17535,2022,17417
Piscataquis,2021,11,0,4,0,2010,17535,2021,17165
Sagadahoc,2022,21,0,0,2,2020,36699,2022,37393
Sagadahoc,2022,21,0,0,2,2020,36699,2021,37071
Sagadahoc,2022,21,0,0,2,2010,35293,2022,37393
Sagadahoc,2022,21,0,0,2,2010,35293,2021,37071
Sagadahoc,2021,20,0,0,2,2020,36699,2022,37393
Sagadahoc,2021,20,0,0,2,2020,36699,2021,37071
Sagadahoc,2021,20,0,0,2,2010,35293,2022,37393
Sagadahoc,2021,20,0,0,2,2010,35293,2021,37071
Somerset,2022,27,1,1,0,2020,50477,2022,51098
Somerset,2022,27,1,1,0,2020,50477,2021,50592
Somerset,2022,27,1,1,0,2010,52228,2022,51098
Somerset,2022,27,1,1,0,2010,52228,2021,50592
Somerset,2021,25,1,1,0,2020,50477,2022,51098
Somerset,2021,25,1,1,0,2020,50477,2021,50592
Somerset,2021,25,1,1,0,2010,52228,2022,51098
Somerset,2021,25,1,1,0,2010,52228,2021,50592
Waldo,2022,38,0,0,1,2020,39607,2022,40241
Waldo,2022,38,0,0,1,2020,39607,2021,39912
Waldo,2022,38,0,0,1,2010,38786,2022,40241
Waldo,2022,38,0,0,1,2010,38786,2021,39912
Waldo,2021,33,0,0,1,2020,39607,2022,40241
Waldo,2021,33,0,0,1,2020,39607,2021,39912
Waldo,2021,33,0,0,1,2010,38786,2022,40241
Waldo,2021,33,0,0,1,2010,38786,2021,39912
Washington,2022,36,2,8,1,2020,31095,2022,31437
Washington,2022,36,2,8,1,2020,31095,2021,31121
Washington,2022,36,2,8,1,2010,32856,2022,31437
Washington,2022,36,2,8,1,2010,32856,2021,31121
Washington,2021,34,2,8,1,2020,31095,2022,31437
Washington,2021,34,2,8,1,2020,31095,2021,31121
Washington,2021,34,2,8,1,2010,32856,2022,31437
Washington,2021,34,2,8,1,2010,32856,2021,31121
York,2022,179,7,16,5,2020,211972,2022,216732
York,2022,179,7,16,5,2020,211972,2021,214591
York,2022,179,7,16,5,2010,197131,2022,216732
York,2022,179,7,16,5,2010,197131,2021,214591
York,2021,155,7,16,5,2020,211972,2022,216732
York,2021,155,7,16,5,2020,211972,2021,214591
York,2021,155,7,16,5,2010,197131,2022,216732
York,2021,155,7,16,5,2010,197131,2021,214591
